ORDER_ID,CUSTOMER_ID,ORDER_TOTAL,ORDER_TIMESTAMP,USER_NAME,TAGS
1,7,1890,17-APR-20 06.45.19.000000 AM,DEMO, 
2,1,2380,01-MAY-20 06.45.19.000000 AM,DEMO,LARGE ORDER
3,2,1640,12-MAY-20 06.45.19.000000 AM,DEMO, 
4,5,1090,14-MAY-20 06.45.19.000000 AM,DEMO, 
5,6,950,24-MAY-20 06.45.19.000000 AM,DEMO, 
6,3,1515,29-MAY-20 06.45.19.000000 AM,DEMO, 
7,3,905,03-JUN-20 06.45.19.000000 AM,DEMO, 
8,4,1060,11-JUN-20 06.45.19.000000 AM,DEMO, 
9,2,730,17-JUN-20 06.45.19.000000 AM,DEMO, 
10,7,870,20-JUN-20 06.45.19.000000 AM,DEMO, 
192,7,180,21-JUN-20 07.03.03.717283 AM,DEMO, 
191,1,800,21-JUN-20 06.52.48.105288 AM,DEMO, 
211,7,100,21-JUN-20 06.57.10.978243 AM,DEMO, 
212,6,210,21-JUN-20 06.59.13.144771 AM,DEMO, 
213,6,500,21-JUN-20 07.00.17.533966 AM,DEMO, 
251,7,155,02-DEC-20 06.29.39.463839 AM,DEMO, 
231,7,1421,06-JUL-20 09.17.31.833485 AM,DEMO, 
